"Date","Value","USDCHF","CHFUSD","LogCHFUSD","LaggedLogCHFUSD","LogDifferenceCHFUSD"
1971-01-04,4.318,4.318,0.231588698471515,-1.46279233209262,NA,NA
1971-01-05,4.3117,4.3117,0.23192708212538,-1.4613322579025,-1.46279233209262,0.00146007419011163
1971-01-06,4.3113,4.3113,0.231948600190198,-1.46123948276617,-1.4613322579025,9.27751363299922e-05
1971-01-07,4.3103,4.3103,0.232002412825093,-1.46100750726175,-1.46123948276617,0.000231975504427329
1971-01-08,4.3109,4.3109,0.231970122248254,-1.46114669902182,-1.46100750726175,-0.000139191760072821
1971-01-09,4.31066666666667,4.31066666666667,0.231982678626663,-1.46109257119508,-1.46114669902182,5.41278267423007e-05
1971-01-10,4.31043333333333,4.31043333333333,0.23199523636448,-1.46103844043835,-1.46109257119508,5.41307567227811e-05
1971-01-11,4.3102,4.3102,0.232007795461928,-1.46098430675133,-1.46103844043835,5.41336870198972e-05
1971-01-12,4.3099,4.3099,0.232023944871111,-1.46091470199034,-1.46098430675133,6.96047609936024e-05
1971-01-13,4.3095,4.3095,0.232045480914259,-1.46082188810532,-1.46091470199034,9.28138850238014e-05
1971-01-14,4.3095,4.3095,0.232045480914259,-1.46082188810532,-1.46082188810532,0
1971-01-15,4.3076,4.3076,0.232147831739252,-1.46038090447259,-1.46082188810532,0.000440983632728376
1971-01-16,4.30603333333333,4.30603333333333,0.232232294222835,-1.46001714004861,-1.46038090447259,0.000363764423980895
1971-01-17,4.30446666666667,4.30446666666667,0.232316818188858,-1.45965324325192,-1.46001714004861,0.000363896796691465
1971-01-18,4.3029,4.3029,0.232401403704478,-1.45928921398614,-1.45965324325192,0.000364029265776278
1971-01-19,4.3006,4.3006,0.232525694089197,-1.45875454784915,-1.45928921398614,0.000534666136988715
1971-01-20,4.301,4.301,0.232504068821204,-1.4588475538016,-1.45875454784915,-9.30059524479887e-05
1971-01-21,4.3017,4.3017,0.232466234279471,-1.45901029340697,-1.4588475538016,-0.000162739605366946
1971-01-22,4.2996,4.2996,0.232579774862778,-1.45852199511677,-1.45901029340697,0.000488298290194811
1971-01-23,4.2999,4.2999,0.232563547989488,-1.45859176661514,-1.45852199511677,-6.97714983712849e-05
1971-01-24,4.3002,4.3002,0.232547323380308,-1.45866153324579,-1.45859176661514,-6.97666306488376e-05
1971-01-25,4.3005,4.3005,0.232531101034763,-1.4587312950094,-1.45866153324579,-6.97617636058467e-05
1971-01-26,4.2987,4.2987,0.232628469072045,-1.45831265140853,-1.4587312950094,0.000418643600867519
1971-01-27,4.2973,4.2973,0.232704256160845,-1.45798691850663,-1.45831265140853,0.000325732901903075
1971-01-28,4.2978,4.2978,0.232677183675369,-1.45810326386632,-1.45798691850663,-0.000116345359696624
1971-01-29,4.2963,4.2963,0.232758420035845,-1.45775418717063,-1.45810326386632,0.000349076695693951
1971-01-30,4.29646666666667,4.29646666666667,0.232749390972427,-1.4577929794882,-1.45775418717063,-3.87923175741989e-05
1971-01-31,4.29663333333333,4.29663333333333,0.232740362609485,-1.45783177030099,-1.4577929794882,-3.87908127890135e-05
1971-02-01,4.2968,4.2968,0.232731334946937,-1.45787055960911,-1.45783177030099,-3.87893081199575e-05
1971-02-02,4.2969,4.2969,0.232725918685564,-1.45789383247179,-1.45787055960911,-2.32728626794465e-05
1971-02-03,4.2965,4.2965,0.232747585243803,-1.45780073777114,-1.45789383247179,9.30947006514415e-05
1971-02-04,4.2966,4.2966,0.232742168226039,-1.45782401225881,-1.45780073777114,-2.32744876713653e-05
1971-02-05,4.2969,4.2969,0.232725918685564,-1.45789383247179,-1.45782401225881,-6.98202129800762e-05
1971-02-06,4.29723333333333,4.29723333333333,0.232707866301574,-1.45797140476921,-1.45789383247179,-7.75722974202253e-05
1971-02-07,4.29756666666667,4.29756666666667,0.232689816717988,-1.45804897104964,-1.45797140476921,-7.7566280425323e-05
1971-02-08,4.2979,4.2979,0.232671769934154,-1.458126531314,-1.45804897104964,-7.75602643643403e-05
1971-02-09,4.2969,4.2969,0.232725918685564,-1.45789383247179,-1.458126531314,0.000232698842209889
1971-02-10,4.2972,4.2972,0.232709671413944,-1.45796364781025,-1.45789383247179,-6.9815338458179e-05
1971-02-11,4.2967,4.2967,0.232736751460423,-1.45784728620479,-1.45796364781025,0.000116361605455806
