"CubeId";"snbband"
"PublishingDate";"2019-06-21 09:00"

"Date";"D0";"Value"
"2000-01-03";"UG";"1.25"
"2000-01-03";"OG";"2.25"
"2000-01-03";"L3MCHF";"1.84667"
"2000-01-04";"UG";"1.25"
"2000-01-04";"OG";"2.25"
"2000-01-04";"L3MCHF";"1.81"
"2000-01-05";"UG";"1.25"
"2000-01-05";"OG";"2.25"
"2000-01-05";"L3MCHF";"1.725"
"2000-01-06";"UG";"1.25"
"2000-01-06";"OG";"2.25"
"2000-01-06";"L3MCHF";"1.72833"
"2000-01-07";"UG";"1.25"
"2000-01-07";"OG";"2.25"
"2000-01-07";"L3MCHF";"1.75333"
"2000-01-10";"UG";"1.25"
"2000-01-10";"OG";"2.25"
"2000-01-10";"L3MCHF";"1.78"
"2000-01-11";"UG";"1.25"
"2000-01-11";"OG";"2.25"
"2000-01-11";"L3MCHF";"1.77167"
"2000-01-12";"UG";"1.25"
"2000-01-12";"OG";"2.25"
"2000-01-12";"L3MCHF";"1.75167"
"2000-01-13";"UG";"1.25"
"2000-01-13";"OG";"2.25"
"2000-01-13";"L3MCHF";"1.76167"
"2000-01-14";"UG";"1.25"
"2000-01-14";"OG";"2.25"
"2000-01-14";"L3MCHF";"1.765"
"2000-01-17";"UG";"1.25"
"2000-01-17";"OG";"2.25"
"2000-01-17";"L3MCHF";"1.78833"
"2000-01-18";"UG";"1.25"
"2000-01-18";"OG";"2.25"
"2000-01-18";"L3MCHF";"1.83"
"2000-01-19";"UG";"1.25"
"2000-01-19";"OG";"2.25"
"2000-01-19";"L3MCHF";"1.81"
"2000-01-20";"UG";"1.25"
"2000-01-20";"OG";"2.25"
"2000-01-20";"L3MCHF";"1.84333"
"2000-01-21";"UG";"1.25"
"2000-01-21";"OG";"2.25"
"2000-01-21";"L3MCHF";"1.89333"
"2000-01-24";"UG";"1.25"
"2000-01-24";"OG";"2.25"
"2000-01-24";"L3MCHF";"1.93"
"2000-01-25";"UG";"1.25"
"2000-01-25";"OG";"2.25"
"2000-01-25";"L3MCHF";"1.91833"
"2000-01-26";"UG";"1.25"
"2000-01-26";"OG";"2.25"
"2000-01-26";"L3MCHF";"1.91167"
"2000-01-27";"UG";"1.25"
"2000-01-27";"OG";"2.25"
"2000-01-27";"L3MCHF";"1.93333"
"2000-01-28";"UG";"1.25"
"2000-01-28";"OG";"2.25"
"2000-01-28";"L3MCHF";"2.01667"
"2000-01-31";"UG";"1.25"
"2000-01-31";"OG";"2.25"
"2000-01-31";"L3MCHF";"2.13167"
"2000-02-01";"UG";"1.25"
"2000-02-01";"OG";"2.25"
"2000-02-01";"L3MCHF";"2.125"
"2000-02-02";"UG";"1.25"
"2000-02-02";"OG";"2.25"
"2000-02-02";"L3MCHF";"2.11167"
"2000-02-03";"UG";"1.75"
"2000-02-03";"OG";"2.75"
"2000-02-03";"L3MCHF";"2.12167"
"2000-02-04";"UG";"1.75"
"2000-02-04";"OG";"2.75"
"2000-02-04";"L3MCHF";"2.26833"
"2000-02-07";"UG";"1.75"
"2000-02-07";"OG";"2.75"
"2000-02-07";"L3MCHF";"2.295"
"2000-02-08";"UG";"1.75"
"2000-02-08";"OG";"2.75"
"2000-02-08";"L3MCHF";"2.28"
"2000-02-09";"UG";"1.75"
"2000-02-09";"OG";"2.75"
"2000-02-09";"L3MCHF";"2.27667"
"2000-02-10";"UG";"1.75"
"2000-02-10";"OG";"2.75"
"2000-02-10";"L3MCHF";"2.28"
"2000-02-11";"UG";"1.75"
"2000-02-11";"OG";"2.75"
"2000-02-11";"L3MCHF";"2.27333"
"2000-02-14";"UG";"1.75"
"2000-02-14";"OG";"2.75"
"2000-02-14";"L3MCHF";"2.26833"
"2000-02-15";"UG";"1.75"
"2000-02-15";"OG";"2.75"
"2000-02-15";"L3MCHF";"2.35667"
"2000-02-16";"UG";"1.75"
"2000-02-16";"OG";"2.75"
"2000-02-16";"L3MCHF";"2.565"
"2000-02-17";"UG";"1.75"
"2000-02-17";"OG";"2.75"
"2000-02-17";"L3MCHF";"2.44167"
"2000-02-18";"UG";"1.75"
"2000-02-18";"OG";"2.75"
"2000-02-18";"L3MCHF";"2.47"
"2000-02-21";"UG";"1.75"
