"Date","Price","Open","High","Low","Change %"
"04/13/2013","0.070","0.060","0.070","0.060","16.67%"
"04/12/2013","0.060","0.060","0.060","0.060","-25.00%"
"04/11/2013","0.080","0.080","0.080","0.080","-11.11%"
"04/10/2013","0.090","0.090","0.090","0.090","12.50%"
"04/09/2013","0.080","0.080","0.080","0.080","-20.00%"
"04/08/2013","0.100","0.100","0.100","0.100","0.00%"
"04/05/2013","0.100","0.100","0.100","0.100","0.00%"
"04/04/2013","0.100","0.100","0.100","0.100","11.11%"
"04/03/2013","0.090","0.090","0.090","0.090","12.50%"
"04/02/2013","0.080","0.080","0.080","0.080","300.00%"
"03/31/2013","0.020","0.050","0.050","0.020","0.00%"
"03/30/2013","0.020","0.050","0.050","0.020","-50.00%"
"03/28/2013","0.040","0.040","0.040","0.040","-42.86%"
"03/27/2013","0.070","0.070","0.070","0.070","-12.50%"
"03/26/2013","0.080","0.080","0.080","0.080","-38.46%"
"03/25/2013","0.130","0.130","0.130","0.130","550.00%"
"03/24/2013","0.020","0.050","0.050","0.020","0.00%"
"03/23/2013","0.020","0.020","0.020","0.020","-66.67%"
"03/22/2013","0.060","0.060","0.060","0.060","-40.00%"
"03/21/2013","0.100","0.100","0.100","0.100","11.11%"
"03/20/2013","0.090","0.090","0.090","0.090","80.00%"
"03/19/2013","0.050","0.050","0.050","0.050","-58.33%"
"03/18/2013","0.120","0.120","0.120","0.120","140.00%"
"03/17/2013","0.050","0.050","0.050","0.050","0.00%"
"03/16/2013","0.050","0.050","0.050","0.050","-68.75%"
"03/15/2013","0.160","0.160","0.160","0.160","6.67%"
"03/14/2013","0.150","0.150","0.150","0.150","0.00%"
"03/13/2013","0.150","0.150","0.150","0.150","0.00%"
"03/12/2013","0.150","0.150","0.150","0.150","15.38%"
"03/11/2013","0.130","0.130","0.130","0.130","44.44%"
"03/10/2013","0.090","0.050","0.090","0.050","-10.00%"
"03/09/2013","0.100","0.050","0.100","0.050","-16.67%"
"03/08/2013","0.120","0.120","0.120","0.120","0.00%"
"03/07/2013","0.120","0.120","0.120","0.120","-14.29%"
"03/06/2013","0.140","0.140","0.140","0.140","-26.32%"
"03/05/2013","0.190","0.190","0.190","0.190","-20.83%"
"03/04/2013","0.240","0.240","0.240","0.240","380.00%"
"03/03/2013","0.050","0.130","0.130","0.050","0.00%"
"03/02/2013","0.050","0.050","0.050","0.050","-70.59%"
"03/01/2013","0.170","0.170","0.170","0.170","21.43%"
"02/28/2013","0.140","0.140","0.140","0.140","-17.65%"
"02/27/2013","0.170","0.170","0.170","0.170","13.33%"
"02/26/2013","0.150","0.150","0.150","0.150","-6.25%"
"02/25/2013","0.160","0.160","0.160","0.160","100.00%"
"02/24/2013","0.080","0.080","0.130","0.080","-38.46%"
"02/23/2013","0.130","0.080","0.130","0.080","-7.14%"
"02/22/2013","0.140","0.140","0.140","0.140","16.67%"
"02/21/2013","0.120","0.120","0.120","0.120","-7.69%"
"02/20/2013","0.130","0.130","0.130","0.130","-13.33%"
"02/19/2013","0.150","0.150","0.150","0.150","15.38%"
"02/18/2013","0.130","0.130","0.130","0.130","62.50%"
