"CubeId";"rendoblid"
"PublishingDate";"2023-10-02 14:30"

"Date";"D0";"Value"
"1988-08-30";"1J";
"1988-08-31";"1J";"4.044"
"1988-09-01";"1J";
"1988-09-02";"1J";
"1988-09-05";"1J";"4.014"
"1988-09-06";"1J";
"1988-09-07";"1J";
"1988-09-08";"1J";
"1988-09-09";"1J";
"1988-09-12";"1J";"3.966"
"1988-09-13";"1J";
"1988-09-14";"1J";
"1988-09-15";"1J";
"1988-09-16";"1J";
"1988-09-19";"1J";"3.833"
"1988-09-20";"1J";
"1988-09-21";"1J";
"1988-09-22";"1J";
"1988-09-23";"1J";
"1988-09-26";"1J";"3.79"
"1988-09-27";"1J";
"1988-09-28";"1J";
"1988-09-29";"1J";
"1988-09-30";"1J";"3.814"
"1988-10-03";"1J";"3.956"
"1988-10-04";"1J";
"1988-10-05";"1J";
"1988-10-06";"1J";
"1988-10-07";"1J";
"1988-10-10";"1J";"3.975"
"1988-10-11";"1J";
"1988-10-12";"1J";
"1988-10-13";"1J";
"1988-10-14";"1J";
"1988-10-17";"1J";"4.084"
"1988-10-18";"1J";
"1988-10-19";"1J";
"1988-10-20";"1J";
"1988-10-21";"1J";
"1988-10-24";"1J";"4.093"
"1988-10-25";"1J";
"1988-10-26";"1J";
"1988-10-27";"1J";
"1988-10-28";"1J";
"1988-10-31";"1J";"4.108"
"1988-11-01";"1J";
"1988-11-02";"1J";
"1988-11-03";"1J";
"1988-11-04";"1J";
"1988-11-07";"1J";"3.987"
"1988-11-08";"1J";
"1988-11-09";"1J";
"1988-11-10";"1J";
"1988-11-11";"1J";
"1988-11-14";"1J";"4.006"
"1988-11-15";"1J";
"1988-11-16";"1J";
"1988-11-17";"1J";
"1988-11-18";"1J";
"1988-11-21";"1J";"4.194"
"1988-11-22";"1J";
"1988-11-23";"1J";
"1988-11-24";"1J";
"1988-11-25";"1J";
"1988-11-28";"1J";"4.506"
"1988-11-29";"1J";
"1988-11-30";"1J";
"1988-12-01";"1J";
"1988-12-02";"1J";
"1988-12-05";"1J";"4.492"
"1988-12-06";"1J";
"1988-12-07";"1J";
"1988-12-08";"1J";
"1988-12-09";"1J";
"1988-12-12";"1J";"4.746"
"1988-12-13";"1J";
"1988-12-14";"1J";
"1988-12-15";"1J";
"1988-12-16";"1J";
"1988-12-19";"1J";"4.71"
"1988-12-20";"1J";
"1988-12-21";"1J";
"1988-12-22";"1J";
"1988-12-23";"1J";
"1988-12-26";"1J";
"1988-12-27";"1J";"4.621"
"1988-12-28";"1J";
"1988-12-29";"1J";
"1988-12-30";"1J";"4.691"
"1989-01-02";"1J";
"1989-01-03";"1J";"4.662"
"1989-01-04";"1J";
"1989-01-05";"1J";
"1989-01-06";"1J";
"1989-01-09";"1J";"5.382"
"1989-01-10";"1J";
"1989-01-11";"1J";
"1989-01-12";"1J";
"1989-01-13";"1J";
"1989-01-16";"1J";"5.485"
"1989-01-17";"1J";
"1989-01-18";"1J";
"1989-01-19";"1J";
"1989-01-20";"1J";
"1989-01-23";"1J";"5.565"
"1989-01-24";"1J";
"1989-01-25";"1J";
"1989-01-26";"1J";
"1989-01-27";"1J";
"1989-01-30";"1J";"5.596"
"1989-01-31";"1J";"5.651"
"1989-02-01";"1J";
"1989-02-02";"1J";
"1989-02-03";"1J";
"1989-02-06";"1J";"5.737"
"1989-02-07";"1J";
"1989-02-08";"1J";
"1989-02-09";"1J";
"1989-02-10";"1J";
"1989-02-13";"1J";"5.713"
"1989-02-14";"1J";
"1989-02-15";"1J";
"1989-02-16";"1J";
"1989-02-17";"1J";
"1989-02-20";"1J";"5.793"
"1989-02-21";"1J";
"1989-02-22";"1J";
"1989-02-23";"1J";
"1989-02-24";"1J";
"1989-02-27";"1J";"6.215"
"1989-02-28";"1J";"6.079"
"1989-03-01";"1J";
"1989-03-02";"1J";
"1989-03-03";"1J";
"1989-03-06";"1J";"5.97"
"1989-03-07";"1J";
"1989-03-08";"1J";
"1989-03-09";"1J";
"1989-03-10";"1J";
"1989-03-13";"1J";"5.944"
"1989-03-14";"1J";
"1989-03-15";"1J";
"1989-03-16";"1J";
"1989-03-17";"1J";
"1989-03-20";"1J";"5.859"
"1989-03-21";"1J";
"1989-03-22";"1J";
"1989-03-23";"1J";
"1989-03-24";"1J";
"1989-03-27";"1J";
"1989-03-28";"1J";"5.808"
"1989-03-29";"1J";
"1989-03-30";"1J";
"1989-03-31";"1J";"5.993"
"1989-04-03";"1J";"5.986"
"1989-04-04";"1J";
"1989-04-05";"1J";
"1989-04-06";"1J";
"1989-04-07";"1J";
"1989-04-10";"1J";"5.99"
"1989-04-11";"1J";
"1989-04-12";"1J";
"1989-04-13";"1J";
"1989-04-14";"1J";
"1989-04-17";"1J";"6.262"
"1989-04-18";"1J";
"1989-04-19";"1J";
"1989-04-20";"1J";
"1989-04-21";"1J";
"1989-04-24";"1J";"6.014"
"1989-04-25";"1J";
"1989-04-26";"1J";
"1989-04-27";"1J";
"1989-04-28";"1J";"6.443"
"1989-05-01";"1J";
"1989-05-02";"1J";"6.412"
"1989-05-03";"1J";
"1989-05-04";"1J";
"1989-05-05";"1J";
"1989-05-08";"1J";"6.812"
"1989-05-09";"1J";
"1989-05-10";"1J";
"1989-05-11";"1J";
"1989-05-12";"1J";
"1989-05-15";"1J";
"1989-05-16";"1J";"7.057"
"1989-05-17";"1J";
"1989-05-18";"1J";
"1989-05-19";"1J";
"1989-05-22";"1J";"7.377"
"1989-05-23";"1J";
"1989-05-24";"1J";
"1989-05-25";"1J";
"1989-05-26";"1J";
"1989-05-29";"1J";"7.195"
"1989-05-30";"1J";
"1989-05-31";"1J";"7.446"
"1989-06-01";"1J";
"1989-06-02";"1J";
"1989-06-05";"1J";"6.868"
"1989-06-06";"1J";
"1989-06-07";"1J";
"1989-06-08";"1J";
"1989-06-09";"1J";
"1989-06-12";"1J";"7.012"
"1989-06-13";"1J";
"1989-06-14";"1J";
"1989-06-15";"1J";
"1989-06-16";"1J";
"1989-06-19";"1J";"6.766"
"1989-06-20";"1J";
"1989-06-21";"1J";
"1989-06-22";"1J";
"1989-06-23";"1J";
"1989-06-26";"1J";"6.647"
"1989-06-27";"1J";
"1989-06-28";"1J";
"1989-06-29";"1J";
"1989-06-30";"1J";"6.922"
"1989-07-03";"1J";"6.943"
"1989-07-04";"1J";
"1989-07-05";"1J";
"1989-07-06";"1J";
"1989-07-07";"1J";
"1989-07-10";"1J";"6.691"
"1989-07-11";"1J";
"1989-07-12";"1J";
"1989-07-13";"1J";
"1989-07-14";"1J";
"1989-07-17";"1J";"6.496"
"1989-07-18";"1J";
"1989-07-19";"1J";
"1989-07-20";"1J";
"1989-07-21";"1J";
"1989-07-24";"1J";"6.425"
"1989-07-25";"1J";
"1989-07-26";"1J";
"1989-07-27";"1J";
"1989-07-28";"1J";
"1989-07-31";"1J";"6.397"
"1989-08-01";"1J";
"1989-08-02";"1J";
"1989-08-03";"1J";
"1989-08-04";"1J";
"1989-08-07";"1J";"6.522"
"1989-08-08";"1J";
"1989-08-09";"1J";
"1989-08-10";"1J";
"1989-08-11";"1J";
"1989-08-14";"1J";"6.672"
"1989-08-15";"1J";
"1989-08-16";"1J";
"1989-08-17";"1J";
"1989-08-18";"1J";
"1989-08-21";"1J";"6.707"
"1989-08-22";"1J";
"1989-08-23";"1J";
"1989-08-24";"1J";
"1989-08-25";"1J";
"1989-08-28";"1J";"6.704"
"1989-08-29";"1J";
"1989-08-30";"1J";
"1989-08-31";"1J";"7.07"
"1989-09-01";"1J";
