"CubeId";"zimoma"
"PublishingDate";"2023-10-02 14:30"

"Date";"D0";"Value"
"1972-01";"SARON";
"1972-01";"1TGT";"0"
"1972-01";"EG3M";
"1972-02";"SARON";
"1972-02";"1TGT";"0"
"1972-02";"EG3M";
"1972-03";"SARON";
"1972-03";"1TGT";"0.125"
"1972-03";"EG3M";
"1972-04";"SARON";
"1972-04";"1TGT";"0.25"
"1972-04";"EG3M";
"1972-05";"SARON";
"1972-05";"1TGT";"1.5"
"1972-05";"EG3M";
"1972-06";"SARON";
"1972-06";"1TGT";"1.625"
"1972-06";"EG3M";
"1972-07";"SARON";
"1972-07";"1TGT";"0"
"1972-07";"EG3M";
"1972-08";"SARON";
"1972-08";"1TGT";"0"
"1972-08";"EG3M";
"1972-09";"SARON";
"1972-09";"1TGT";"0.5"
"1972-09";"EG3M";
"1972-10";"SARON";
"1972-10";"1TGT";"1.5"
"1972-10";"EG3M";
"1972-11";"SARON";
"1972-11";"1TGT";"4.25"
"1972-11";"EG3M";
"1972-12";"SARON";
"1972-12";"1TGT";"4.5"
"1972-12";"EG3M";
"1973-01";"SARON";
"1973-01";"1TGT";"2.25"
"1973-01";"EG3M";
"1973-02";"SARON";
"1973-02";"1TGT";"4.5"
"1973-02";"EG3M";
"1973-03";"SARON";
"1973-03";"1TGT";"2"
"1973-03";"EG3M";
"1973-04";"SARON";
"1973-04";"1TGT";"0.875"
"1973-04";"EG3M";
"1973-05";"SARON";
"1973-05";"1TGT";"0"
"1973-05";"EG3M";
"1973-06";"SARON";
"1973-06";"1TGT";"15.5"
"1973-06";"EG3M";
"1973-07";"SARON";
"1973-07";"1TGT";"2"
"1973-07";"EG3M";
"1973-08";"SARON";
"1973-08";"1TGT";"1"
"1973-08";"EG3M";
"1973-09";"SARON";
"1973-09";"1TGT";"1"
"1973-09";"EG3M";
"1973-10";"SARON";
"1973-10";"1TGT";"4"
"1973-10";"EG3M";
"1973-11";"SARON";
"1973-11";"1TGT";"8.5"
"1973-11";"EG3M";
"1973-12";"SARON";
"1973-12";"1TGT";"2.5"
"1973-12";"EG3M";
"1974-01";"SARON";
"1974-01";"1TGT";"3.25"
"1974-01";"EG3M";
"1974-02";"SARON";
"1974-02";"1TGT";"5"
"1974-02";"EG3M";
"1974-03";"SARON";
"1974-03";"1TGT";"4"
"1974-03";"EG3M";
"1974-04";"SARON";
"1974-04";"1TGT";"1"
"1974-04";"EG3M";
"1974-05";"SARON";
"1974-05";"1TGT";"4"
"1974-05";"EG3M";
"1974-06";"SARON";
"1974-06";"1TGT";"4"
"1974-06";"EG3M";
"1974-07";"SARON";
"1974-07";"1TGT";"2.5"
"1974-07";"EG3M";
"1974-08";"SARON";
"1974-08";"1TGT";"6"
"1974-08";"EG3M";
